Year,Place,Points,No.,,Country,Performer,Song
2023,1,583,9,Picture,Sweden,Loreen,Tattoo
2023,2,526,13,Picture,Finland,Käärijä,Cha Cha Cha
2023,3,362,23,Picture,Israel,Noa Kirel,Unicorn
2023,4,350,11,Picture,Italy,Marco Mengoni,Due Vite
2023,5,268,20,Picture,Norway,Alessandra,Queen of Kings
2023,6,243,19,Picture,Ukraine,TVORCHI,Heart Of Steel
2023,7,182,16,Picture,Belgium,Gustaph,Because Of You
2023,8,168,12,Picture,Estonia,Alika,Bridges
2023,9,151,15,Picture,Australia,Voyager,Promise
2023,10,129,14,Picture,Czechia,Vesna,My Sister's Crown
2023,11,127,22,Picture,Lithuania,Monika Linkytė,Stay
2023,12,126,7,Picture,Cyprus,Andrew Lambrou,Break A Broken Heart
2023,13,123,25,Picture,Croatia,Let 3,Mama ŠČ!
2023,14,122,17,Picture,Armenia,Brunette,Future Lover
2023,15,120,1,Picture,Austria,Teya & Salena,Who The Hell Is Edgar?
2023,16,104,6,Picture,France,La Zarra,Évidemment
2023,17,100,8,Picture,Spain,Blanca Paloma,Eaea
2023,18,96,18,Picture,Moldova,Pasha Parfeni,Soarele şi Luna
2023,19,93,4,Picture,Poland,Blanka,Solo
2023,20,92,3,Picture,Switzerland,Remo Forrer,Watergun
2023,21,78,24,Picture,Slovenia,Joker Out,Carpe Diem
2023,22,76,10,Picture,Albania,Albina & Familja Kelmendi,Duje
2023,23,59,2,Picture,Portugal,Mimicat,Ai Coração
2023,24,30,5,Picture,Serbia,Luke Black,Samo Mi Se Spava
2023,25,24,26,Picture,United Kingdom,Mae Muller,I Wrote A Song
2023,26,18,21,Picture,Germany,Lord of the Lost,Blood & Glitter
2022,1,631,12,Picture,Ukraine,Kalush Orchestra,Stefania
2022,2,466,22,Picture,United Kingdom,Sam Ryder,SPACE MAN
2022,3,459,10,Picture,Spain,Chanel,SloMo
2022,4,438,20,Picture,Sweden,Cornelia Jakobs,Hold Me Closer
2022,5,312,24,Picture,Serbia,Konstrakta,In Corpore Sano
2022,6,268,9,Picture,Italy,Mahmood & Blanco,Brividi
2022,7,253,19,Picture,Moldova,Zdob şi Zdub & Fraţii Advahov,Trenulețul
2022,8,215,17,Picture,Greece,Amanda Georgiadi Tenfjord,Die Together
2022,9,207,3,Picture,Portugal,MARO,"Saudade, Saudade"
2022,10,182,7,Picture,Norway,Subwoolfer,Give That Wolf A Banana
2022,11,171,11,Picture,Netherlands,S10,De Diepte
2022,12,151,23,Picture,Poland,Ochman,River
2022,13,141,25,Picture,Estonia,Stefan,Hope
2022,14,128,14,Picture,Lithuania,Monika Liu,Sentimentai
2022,15,125,21,Picture,Australia,Sheldon Riley,Not The Same
2022,16,106,15,Picture,Azerbaijan,Nadir Rustamli,Fade To Black
