,Year,Country,City,Location,Broadcaster,Date
0,2023,United Kingdom,Liverpool,Liverpool Arena,BBC,13.5.2023
1,2022,Italy,Turin,PalaOlimpico,RAI,14.5.2022
2,2021,Netherlands,Rotterdam,Rotterdam Ahoy,NPO,22.5.2021
3,2019,Israel,Tel Aviv,Expo Tel Aviv,KAN,18.5.2019
4,2018,Portugal,Lisbon,Altice Arena,RTP,12.5.2018
5,2017,Ukraine,Kyiv,International Exhibition Centre,NTU,13.5.2017
6,2016,Sweden,Stockholm,Globe Arena,SVT,14.5.2016
7,2015,Austria,Vienna,Wiener Stadthalle,ORF,23.5.2015
8,2014,Denmark,Copenhagen,B&W Hallerna,DR,10.5.2014
9,2013,Sweden,Malmö,Malmö Arena,SVT,18.5.2013
10,2012,Azerbaijan,Baku,Crystal Hall,İctimai,26.5.2012
11,2011,Germany,Düsseldorf,Fortuna Düsseldorf Arena,ARD,14.5.2011
12,2010,Norway,Oslo,Telenor Arena,NRK,29.5.2010
13,2009,Russia,Moscow,Olimpiysky Arena,C1R,16.5.2009
14,2008,Serbia,Belgrade,Belgrade Arena,RTS,24.5.2008
15,2007,Finland,Helsinki,Hartwall Arena,YLE,12.5.2007
16,2006,Greece,Athen,Olympic Indoor Hall,ERT,20.5.2006
17,2005,Ukraine,Kiev,Palace of Sports,NTU,21.5.2005
18,2004,Turkey,Istanbul,Abdi Ipekci Sport Center,TRT,15.5.2004
19,2003,Latvia,Riga,Skonto Olympic Hall,LTV,24.5.2003
20,2002,Estonia,Tallin,Saku Suurhall,ERR,25.5.2002
21,2001,Denmark,Copenhagen,Parkenstadion,DR,12.5.2001
22,2000,Sweden,Stockholm,Globen,SVT,13.5.2000
23,1999,Israel,Jerusalem,Usshishkin Hall,IBA,29.5.1999
24,1998,United Kingdom,Birmingham,National Indoor Arena,BBC,9.5.1998
25,1997,Ireland,Dublin,The Point Theatre,RTÉ,3.5.1997
26,1996,Norway,Oslo,Oslo Spektrum,NRK,18.5.1996
27,1995,Ireland,Dublin,Point Theatre,RTÉ,13.5.1995
28,1994,Ireland,Dublin,Point Theatre,RTÉ,30.4.1994
29,1993,Ireland,Millstreet,Green Glens Arena,RTÉ,15.5.1993
30,1992,Sweden,Malmö,MalmöMässan,SVT,9.5.1992
31,1991,Italy,Rome,Studio 15 de Cinecittà,RAI,4.5.1991
32,1990,Yugoslavia,Zagreb,Koncertna Dvorana Vatroslav Lisinski,JRT,5.5.1990
33,1989,Switzerland,Lausanne,Palais de Beaulieu,SRG SSR idée suisse,6.5.1989
34,1988,Ireland,Dublin,"Simmonscourt Pavillion, Royal Dublin Society",RTÉ,30.4.1988
35,1987,Belgium,Brussels,Palais de Centenaire,RTBF,9.5.1987
36,1986,Norway,Bergen,Grieghallen,NRK,3.5.1986
37,1985,Sweden,Gothenburg,Scandinavium,SVT,4.5.1985
38,1984,Luxembourg,Luxembourg,Théâtre Municipal,RTL,5.5.1984
39,1983,Germany,Munich,Rudi-Sedlmayer-Halle,ARD,23.4.1983
40,1982,United Kingdom,Harrogate,Harrogate Conference Centre,BBC,24.4.1982
41,1981,Ireland,Dublin,"Simmonscourt Pavillion, Royal Dublin Society",RTÉ,4.4.1981
42,1980,Netherlands,The Hague,Nederlands Congresgebouw,NOS,19.4.1980
43,1979,Israel,Jerusalem,Binyanei Ha'ouama Centre,IBA,31.3.1979
44,1978,France,Paris,Palais des Congrès,TF1,22.4.1978
45,1977,United Kingdom,London,Wembley Conference Centre,BBC,7.5.1977
46,1976,Netherlands,The Hague,Nederlands Congresgebouw,NOS,3.4.1976
47,1975,Sweden,Stockholm,St. Eriks Mässan Alvsjö,SR,22.3.1975
48,1974,United Kingdom,Brighton,The Dome,BBC,6.4.1974
49,1973,Luxembourg,Luxembourg,Nouveau Théâtre,CLT,7.4.1973
50,1972,United Kingdom,Edinburgh,Usher Hall,BBC,25.3.1972
51,1971,Ireland,Dublin,Gaiety Theatre,RTÉ,3.4.1971
52,1970,Netherlands,Amsterdam,RAI Congrescentrum,NOS,21.3.1970
53,1969,Spain,Madrid,Teatro Real,TVE,29.3.1969
54,1968,United Kingdom,London,Royal Albert Hall,BBC,6.4.1968
55,1967,Austria,Vienna,Großer Festsaal der Wiener Hofburg,ORF,8.4.1967
56,1966,Luxembourg,Luxembourg,"Grand Auditorium de RTL, Villa Louvigny",CLT,5.3.1966
57,1965,Italy,Naples,Sala di Concerto della RAI,RAI,20.3.1965
58,1964,Denmark,Copenhagen,Tivolis Koncertsal,DR,21.3.1964
59,1963,United Kingdom,London,BBC Television Centre,BBC,23.3.1963
60,1962,Luxembourg,Luxembourg,"Grand Auditorium de RTL, Villa Louvigny",RTL,18.3.1962
61,1961,France,Cannes,Palais des Festivals,RTF,18.3.1961
62,1960,United Kingdom,London,Royal Festival Hall,BBC,29.3.1960
63,1959,France,Cannes,Palais des Festivals,RTF,11.3.1959
64,1958,Netherlands,Hilversum,AVRO Studios,NOS,12.3.1958
65,1957,Germany,Frankfurt,Großer Sendesaal des Hessischen Rundfunks,ARD,3.3.1957
66,1956,Switzerland,Lugano,Teatro Kursaal,SSR SRG,24.5.1956
