Giver,Receiver,Year,Type,Points
AD,AL,2009,F,0.0
AD,AL,2008,F,0.0
AD,AL,2007,SF,0.0
AD,AL,2006,SF,0.0
AD,AL,2005,F,0.0
AD,AL,2004,F,0.0
AD,AL,2004,SF,6.0
AM,AL,2023,F,0.0
AM,AL,2023,SF2,7.0
AM,AL,2022,SF1,2.0
AM,AL,2019,F,0.0
AM,AL,2019,SF2,0.0
AM,AL,2018,F,0.0
AM,AL,2018,SF1,5.0
AM,AL,2017,SF1,0.0
AM,AL,2015,F,0.0
AM,AL,2015,SF1,0.0
AM,AL,2014,SF1,0.0
AM,AL,2013,SF2,0.0
AM,AL,2011,SF1,0.0
AM,AL,2010,F,0.0
AM,AL,2009,F,0.0
AM,AL,2008,F,0.0
AM,AL,2007,SF,0.0
AM,AL,2006,SF,1.0
AU,AL,2023,F,0.0
AU,AL,2023,SF2,3.0
AU,AL,2021,F,0.0
AU,AL,2019,F,0.0
AU,AL,2018,F,0.0
AU,AL,2017,SF1,0.0
AU,AL,2016,SF2,0.0
AU,AL,2015,F,0.0
AU,AL,2015,SF1,0.0
AT,AL,2023,F,3.0
AT,AL,2023,SF2,6.0
AT,AL,2022,SF1,2.0
AT,AL,2021,F,0.0
AT,AL,2021,SF2,5.0
AT,AL,2019,F,0.0
AT,AL,2019,SF2,3.0
AT,AL,2018,F,9.0
AT,AL,2018,SF1,7.0
AT,AL,2015,F,0.0
AT,AL,2015,SF1,3.0
AT,AL,2012,F,8.0
AT,AL,2012,SF1,12.0
AT,AL,2007,SF,3.0
AT,AL,2005,F,3.0
AT,AL,2004,F,5.0
AT,AL,2004,SF,7.0
AZ,AL,2023,F,8.0
AZ,AL,2021,F,0.0
AZ,AL,2019,F,7.0
AZ,AL,2019,SF2,11.0
AZ,AL,2018,F,12.0
AZ,AL,2018,SF1,7.0
AZ,AL,2017,SF1,13.0
AZ,AL,2015,F,0.0
AZ,AL,2014,SF1,0.0
AZ,AL,2013,SF2,2.0
AZ,AL,2012,F,0.0
AZ,AL,2012,SF1,12.0
AZ,AL,2011,SF1,2.0
AZ,AL,2010,F,0.0
AZ,AL,2009,F,0.0
AZ,AL,2009,SF2,5.0
AZ,AL,2008,F,1.0
BY,AL,2019,F,0.0
BY,AL,2018,F,7.0
BY,AL,2018,SF1,12.0
BY,AL,2016,SF2,0.0
BY,AL,2015,F,0.0
BY,AL,2015,SF1,0.0
BY,AL,2012,F,0.0
BY,AL,2010,F,0.0
BY,AL,2010,SF1,0.0
BY,AL,2009,F,0.0
BY,AL,2008,F,0.0
BY,AL,2008,SF2,5.0
BY,AL,2007,SF,0.0
BY,AL,2006,SF,0.0
BY,AL,2005,F,0.0
BY,AL,2004,F,0.0
BY,AL,2004,SF,0.0
BE,AL,2023,F,3.0
BE,AL,2023,SF2,8.0
BE,AL,2021,F,0.0
BE,AL,2019,F,0.0
BE,AL,2018,F,2.0
BE,AL,2018,SF1,4.0
BE,AL,2017,SF1,0.0
BE,AL,2016,SF2,2.0
BE,AL,2015,F,6.0
BE,AL,2015,SF1,10.0
BE,AL,2014,SF1,2.0
BE,AL,2012,F,10.0
BE,AL,2012,SF1,10.0
BE,AL,2010,F,3.0
BE,AL,2010,SF1,8.0
BE,AL,2009,F,0.0
BE,AL,2008,F,0.0
BE,AL,2007,SF,0.0
BE,AL,2006,SF,0.0
BE,AL,2005,F,0.0
BE,AL,2004,F,1.0
BE,AL,2004,SF,5.0
BA,AL,2012,F,6.0
BA,AL,2010,F,5.0
BA,AL,2010,SF1,7.0
BA,AL,2009,F,0.0
BA,AL,2008,F,1.0
BA,AL,2007,SF,4.0
BA,AL,2006,SF,5.0
BA,AL,2005,F,5.0
BA,AL,2004,F,4.0
BA,AL,2004,SF,6.0
BG,AL,2022,SF1,1.0
BG,AL,2021,F,0.0
BG,AL,2021,SF2,8.0
BG,AL,2018,F,7.0
BG,AL,2018,SF1,6.0
BG,AL,2016,SF2,2.0
BG,AL,2013,SF2,0.0
BG,AL,2012,F,4.0
BG,AL,2010,F,0.0
BG,AL,2009,F,0.0
BG,AL,2008,F,0.0
BG,AL,2008,SF2,0.0
BG,AL,2007,SF,2.0
BG,AL,2006,SF,0.0
BG,AL,2005,F,0.0
HR,AL,2023,F,6.0
HR,AL,2022,SF1,2.0
HR,AL,2021,F,1.0
HR,AL,2019,F,1.0
HR,AL,2019,SF2,11.0
